emotion,sentence
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,این نتیجه برایم بسیار ناامیدکننده است.
disappointed,احساس ناامیدی عمیقی دارم.
disappointed,دلم شکسته است.
disappointed,متأسفانه خیلی ناراحت شدم.
disappointed,بسیار ناامید شده‌ام.
disappointed,از نتیجه‌ای که به دست آمده ناراحتم.
disappointed,انتظار بیشتری داشتم.
disappointed,به خاطر نتیجه‌ای که به دست آمده ناراحتم شده است.
disappointed,احساس ناکامی می‌کنم.
disappointed,از عدم رسیدن به اهدافم ناراحتم.
disappointed,احساس ناامیدی و ناراحتی عمیقی در دلم دارم.
disappointed,به امید بهتری خیلی ناراحت شدم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,احساس ناامیدی و ناراحتی عمیقی در دلم دارم.
disappointed,به امید بهتری خیلی ناراحت شدم.
disappointed,احساس ناامیدی و ناراحتی عمیقی در دلم دارم.
disappointed,به امید بهتری خیلی ناراحت شدم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,این نتیجه برایم بسیار ناامیدکننده است.
disappointed,احساس ناامیدی عمیقی دارم.
disappointed,دلم شکسته است.
disappointed,متأسفانه خیلی ناراحت شدم.
disappointed,بسیار ناامید شده‌ام.
disappointed,از نتیجه‌ای که به دست آمده ناراحتم.
disappointed,انتظار بیشتری داشتم.
disappointed,به خاطر نتیجه‌ای که به دست آمده ناراحتم شده است.
disappointed,احساس ناکامی می‌کنم.
disappointed,از عدم رسیدن به اهدافم ناراحتم.
disappointed,احساس ناامیدی و ناراحتی عمیقی در دلم دارم.
disappointed,به امید بهتری خیلی ناراحت شدم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,این نتیجه برایم بسیار ناامیدکننده است.
disappointed,احساس ناامیدی عمیقی دارم.
disappointed,دلم شکسته است.
disappointed,متأسفانه خیلی ناراحت شدم.
disappointed,بسیار ناامید شده‌ام.
disappointed,از نتیجه‌ای که به دست آمده ناراحتم.
disappointed,انتظار بیشتری داشتم.
disappointed,به خاطر نتیجه‌ای که به دست آمده ناراحتم شده است.
disappointed,احساس ناکامی می‌کنم.
disappointed,از عدم رسیدن به اهدافم ناراحتم.
disappointed,احساس ناامیدی و ناراحتی عمیقی در دلم دارم.
disappointed,به امید بهتری خیلی ناراحت شدم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,احساس ناامیدی و ناراحتی عمیقی در دلم دارم.
disappointed,به امید بهتری خیلی ناراحت شدم.
disappointed,احساس ناامیدی و ناراحتی عمیقی در دلم دارم.
disappointed,به امید بهتری خیلی ناراحت شدم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,نتوانستم به نتیجه‌ای برسم و این احساس ناکامی را به دست آورده است.
disappointed,بسیار ناراحت شده‌ام که اینجا رسیدیم و انتظاراتم برآورده نشد.
disappointed,دلم برای نتیجه‌ای که به دست آمد بسیار تلخ است و ناراحتم.
disappointed,نتوانستم به امیدهایم برسم و این ناراحتم را بیشتر کرده است.
disappointed,احساس شکست و ناامیدی عمیقی دارم که توانستم به انتظاراتم برسم.
disappointed,با این همه تلاش که کردم، نتوانستم به هدفم برسم و این احساس ناکامی را به دست آورده است.
disappointed,احساس شکست و ناراحتی بزرگی در دلم دارم که توانستم به امیدهایم برسم.
disappointed,ناامید شدم.
disappointed,ناراحت شدم.
disappointed,احساس شکست کردم.
disappointed,با این نتیجه ناراحتم.
disappointed,خیلی ناراحتم.
disappointed,نتوانستم به هدفم برسم.
disappointed,ناکام شدم.
disappointed,احساس بی‌امیدی کردم.
disappointed,بسیار ناامیدم.
disappointed,به نتیجه ناراحت شدم.
disappointed,با این نتیجه ناراحتم.
disappointed,احساس ناکامی کردم.
disappointed,نتوانستم انتظاراتم را برآورده کنم.
disappointed,به امیدهایم نرسیدم.
disappointed,احساس شکست خوردم.
disappointed,بسیار ناراحت و ناامیدم.
disappointed,احساس بی‌امیدی و شکست کردن را تجربه کردم.
disappointed,نتوانستم به انتظاراتم برسم.
disappointed,با تلاشم نتوانستم به نتیجه‌ای برسم.
disappointed,احساس ناراحتی و شکست را تجربه می‌کنم.
disappointed,ناراحت و ناامیدم.
disappointed,احساس ناکامی و بی‌امیدی کردم.
disappointed,نتوانستم امیدهایم را به دست بیاورم.
disappointed,با این همه تلاشم به هدفم نرسیدم.
disappointed,احساس شکست خوردن و ناامیدی کردم.
disappointed,نتوانستم به انتظاراتم برسم.
disappointed,با تلاشم نتوانستم به نتیجه‌ای برسم.
disappointed,احساس ناراحتی و شکست کردن را تجربه کردم.
disappointed,ناراحت و ناامیدم.
disappointed,احساس ناکامی و بی‌امیدی کردم.
disappointed,نتوانستم امیدهایم را به دست بیاورم.
disappointed,با این همه تلاشم به هدفم نرسیدم.
disappointed,احساس شکست خوردن و ناامیدی کردم.
disappointed,نتوانستم به انتظاراتم برسم.
disappointed,با تلاشم نتوانستم به نتیجه‌ای برسم.
disappointed,احساس ناراحتی و شکست کردن را تجربه کردم.
disappointed,ناراحت و ناامیدم.
disappointed,احساس ناکامی و بی‌امیدی کردم.
disappointed,نتوانستم امیدهایم را به دست بیاورم.
disappointed,با این همه تلاشم به هدفم نرسیدم.
disappointed,احساس شکست خوردن و ناامیدی کردم.
disappointed,نتوانستم به انتظاراتم برسم.
disappointed,با تلاشم نتوانستم به نتیجه‌ای برسم.
disappointed,احساس ناراحتی و شکست کردن را تجربه کردم.
disappointed,ناراحت و ناامیدم.
disappointed,احساس ناکامی و بی‌امیدی کردم.
disappointed,نتوانستم امیدهایم را به دست بیاورم.
disappointed,با این همه تلاشم به هدفم نرسیدم.
disappointed,احساس شکست خوردن و ناامیدی کردم.
disappointed,نتوانستم به انتظاراتم برسم.
disappointed,با تلاشم نتوانستم به نتیجه‌ای برسم.
disappointed,احساس ناراحتی و شکست کردن را تجربه کردم.
disappointed,ناراحت و ناامیدم.
disappointed,احساس ناکامی و بی‌امیدی کردم.
disappointed,نتوانستم امیدهایم را به دست بیاورم.
disappointed,با این همه تلاشم به هدفم نرسیدم.
disappointed,احساس شکست خوردن و ناامیدی کردم.
disappointed,نتوانستم به انتظاراتم برسم.
disappointed,با تلاشم نتوانستم به نتیجه‌ای برسم.
disappointed,احساس ناراحتی و شکست کردن را تجربه کردم.
disappointed,ناراحت و ناامیدم.
disappointed,احساس ناکامی و بی‌امیدی کردم.
disappointed,نتوانستم امیدهایم را به دست بیاورم.
disappointed,با این همه تلاشم به هدفم نرسیدم.
disappointed,احساس شکست خوردن و ناامیدی کردم.
disappointed,نتوانستم به انتظاراتم برسم.
disappointed,با تلاشم نتوانستم به نتیجه‌ای برسم.
disappointed,احساس ناراحتی و شکست کردن را تجربه کردم.
disgusted,بوی نفس او بی‌تمیزی را به ذهن من می‌آورد.
disgusted,نگاه کثیف او احساس تنفر را در من برانگیزانده است.
disgusted,این روزها همه چیز آلوده و ناخوشایند به نظر می‌رسد.
disgusted,او مدام با حرکات غیربهداشتی مرا به لرزه درآورده است.
disgusted,اشکالی ندارد که توجه کسانی که به وسواس بهداشتی دارند را به خود جلب کند، اما من نمی‌توانم با این ناهنجاری‌ها کنار بیایم.
disgusted,احساس انزجار را در برابر عدم تمیزی و مراقبت از خودمان تجربه می‌کنم.
disgusted,به طور قطع از دیدن آشغال‌ها و کثیفی‌ها بیزارم.
disgusted,او هیچ توجهی به بهداشت شخصی خود نمی‌کند و این وضعیتی بسیار ناراحت‌کننده است.
disgusted,حتی فکر کردن به اینکه با یک شخص غیربهداشتی در تماس باشم برایم آزاردهنده است.
disgusted,تمام این کثیفی و آلودگی در اطرافم من را به ناخوشی می‌اندازد.
disgusted,دست‌هایی کثیف و بی‌تمیز برایم نشان‌دهندهٔ بی‌احترامی و ناشیانه‌بودن است.
disgusted,عدم توجه به بهداشت شخصی می‌تواند یک منبع انتقال بیماری‌ها و عفونت‌ها باشد.
disgusted,به وضوح درک می‌کنم که این نادانسته باشد، اما این برایم به‌طور جدی ناخوشایند است.
disgusted,شیوع عفونت‌ها در محیط‌های کثیف و بهداشتی مناسب نیست و بسیار نگران‌کننده است.
disgusted,تمام این بی‌توجهی به بهداشت شخصی اصلاً قابل قبول نیست.
disgusted,حتی فکر کردن به عبور از کنار یک محل آشغال‌آلود برایم متنفرکننده است.
disgusted,احساس تنفر از بوی بد بدن او را در من برانگیزانده است.
disgusted,او به نظافت شخصی خود اهمیت نمی‌دهد و این امر برایم غم‌انگیز است.
disgusted,به تنهایی بودن با یک فرد غیربهداشتی مرا از راه انداخته است.
disgusted,این همه آشغال و کثیفی در اطرافم واقعاً اذیت‌کننده است.
disgusted,به‌طور قاطع از دیدن محیط‌های کثیف و ناپاک بیزارم.
disgusted,او اصلاً اهمیتی به تمیزی محیط اطرافش نمی‌دهد و این وضعیت برایم غیرقابل تحمل است.
disgusted,احساس تنفر از کثیفی و ناپاکی او را در من برانگیزانده است.
disgusted,بوی ناخوشایند و کثیفی که از او می‌آید، تمام احساسات من را به هم می‌زند.
disgusted,وضعیت غیربهداشتی و ناپاکی کاملاً ناقض قوانین بهداشت و حفظ بهداشت است.
disgusted,نگاهی به محیط کثیف و آلوده اطرافم به من احساس تنفر و نفرت می‌دهد.
disgusted,او به طور کامل نادیده می‌گیرد که نظافت شخصی یک نیاز ضروری است.
disgusted,تمام این کثیفی و اهمال بهداشتی من را از او بیزار می‌کند.
disgusted,نگرانیم از انتقال عفونت‌ها به دلیل عدم تمیزی و بهداشت شخصی صحیح وجود دارد.
disgusted,وقتی با یک فرد ناپاک در تماس باشم، احساس نفرت و اشکال می‌کنم.
disgusted,بوی ناخوشایند بدن او، تمام حواس من را به خود می‌کشاند.
disgusted,او بهداشت شخصی خود را در نظر نمی‌گیرد و این وضعیت من را عصبانی می‌کند.
disgusted,همه این کثیفی و آلودگی در اطرافم مرا به تنفر می‌اندازد.
disgusted,تمام این بهداشت ناکافی در محیط کار باعث احساس ناخوشایندی و انزجار می‌شود.
